"filename", "language", "JSON", "Python", "comment", "blank", "total"
"c:\Users\natha\Documents\Autonomous-Agriculture\data\__init__.py", "Python", 0, 14, 6, 8, 28
"c:\Users\natha\Documents\Autonomous-Agriculture\data\frost_dates.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\natha\Documents\Autonomous-Agriculture\data\interface.py", "Python", 0, 62, 13, 23, 98
"c:\Users\natha\Documents\Autonomous-Agriculture\data\models.py", "Python", 0, 42, 5, 15, 62
"Total", "-", 1, 118, 24, 46, 189
